"mnemonic"|"args"|"shortdescription"|"description"|"type"|"group"|"subdivision"|"family"|"subfamily"|"coding"|"operation"|"flags"|"notes"|"assemblertranslationsandvalidations"|"cpuvalidations"
"cnvl2f"|"fdst,rsrc"|"Convert long FPR to FPR"|"Convert data from long FPR to data in FPR"|"2"|"A"|"4"|"Data type conversion"|"0"|"10 0000 r\_src r\_dst uuuuu 11 00100 uuuuu"|"if $(src \enspace \% \enspace 2 == '0')$ then \\ $\enspace f_{dst} \longleftarrow_{32} float(r_{src+1} \# r_{src})$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cnv_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cnv_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cnv_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cnv_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(src \enspace \% \enspace 2 == '0')$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31 and even"
"cnvd2l"|"rdst,fsrc"|"Convert double FPR to long GPR"|"Convert data from double FPR to data in long GPR"|"2"|"A"|"4"|"Data type conversion"|"0"|"10 0000 r\_src r\_dst uuuuu 00 00101 uuuuu"|"if $(dst \enspace \% \enspace 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace (r_{dst+1} \# r_{dst}) \longleftarrow_{64} long(f_{src+1} \# f_{src})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cnv_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cnv_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cnv_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} cnv_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cnv_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cnv_{0}.v$ \\ $\enspace r_{dst}.z \longleftarrow_{1} cnv_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cnv_{0}.n$ \\ else if $(dst \%2 == '1')$ then \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n)$ a definir\\ else if $(dst \%2 == '1')$ then \\ $\enspace cr[4]$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"cnvl2d"|"fdst,rsrc"|"Convert long GPR to double FPR"|"Convert data from long GPR to data in double FPR"|"2"|"A"|"4"|"Data type conversion"|"0"|"10 0000 r\_src r\_dst uuuuu 01 00101 uuuuu"|"if $(dst \enspace \% \enspace 2 == '0'  \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace (f_{dst+1} \# f_{dst}) \longleftarrow_{64} double(r_{src+1} \# r_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cnv_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cnv_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cnv_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cnv_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cnv_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cnv_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cnv_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cnv_{0}.n$ \\ else if $(dst \%2 == '1')$ then \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == '0' \enspace \& \enspace src \enspace \% \enspace 2 == '0')$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n)$ \\ else if $(dst \%2 == '1')$ then \\ $\enspace cr[5]$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"inv.w"|"rdst,rsrc"|"Invert GPR"|"Invert data in GPR"|"2"|"A"|"5"|"Logic"|"0"|"10 0000 r\_src r\_dst uuuuu 00 00110 uuuuu"|"$r_{dst} \longleftarrow_{32} ~ r_{src}$ \\ $r_{dst}.c \longleftarrow_{1} alu_{0}.c$ \\ $r_{dst}.v \longleftarrow_{1} alu_{0}.v$ \\ $r_{dst}.z \longleftarrow_{1} alu_{0}.z$ \\ $r_{dst}.n \longleftarrow_{1} alu_{0}.n$ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"inv.l"|"rdst,rsrc"|"Invert long GPR"|"Invert data in long GPR"|"2"|"A"|"5"|"Logic"|"0"|"10 0000 r\_src r\_dst uuuuu 01 00110 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} ~ r_{src+1}\#r_{src}$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} alu_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} alu_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} alu_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} alu_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} alu_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} alu_{0}.v$ \\ $\enspace r_{dst}.z \longleftarrow_{1} alu_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} alu_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"jral"|"rdst,rsrc"|"Jump register and link"|"Jump to address stored in GPR and store $PC + 1$ in GPR"|"2"|"A"|"6"|"Control"|"0"|"10 0000 r\_src r\_dst uuuuu 00 00111 uuuuu"|"$pc \longleftarrow_{30} r_{src}[31:2]$ \\ $r_{dst}  \longleftarrow_{32} (pc + 1)\#0b00$ \\"|"None \\"|"The two LSB's of $r_{src}$ are discarded. These bits should be zero, but no checking is done."|"None."|"dst range: 0:31; src range: 0:31"
"cos.w"|"rdst,rsrc"|"Cosine of GPR"|"Calculate cosine of GPR with cordic coprocessor"|"2"|"A"|"7"|"Cordic"|"0"|"10 0000 r\_src r\_dst uuuuu 00 10000 uuuuu"|"$r_{dst} \longleftarrow_{32} cos(r_{src}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"cos.l"|"rdst,rsrc"|"Cosine of long GPR"|"Calculate cosine of long GPR with cordic coprocessor"|"2"|"A"|"7"|"Cordic"|"0"|"10 0000 r\_src r\_dst uuuuu 01 10000 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} cos(r_{src+1}\#r_{src})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\$\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"cos.f"|"fdst,fsrc"|"Cosine of FPR"|"Calculate cosine of FPR with cordic coprocessor"|"2"|"A"|"7"|"Cordic"|"0"|"10 0000 r\_src r\_dst uuuuu 10 10000 uuuuu"|"$f_{dst} \longleftarrow_{32} cos(f_{src}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"cos.d"|"fdst,fsrc"|"Cosine of double FPR"|"Calculate cosine of double FPR with cordic coprocessor"|"2"|"A"|"7"|"Cordic"|"0"|"10 0000 r\_src r\_dst uuuuu 11 10000 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} cos(f_{src+1}\#f_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"cosh.w"|"rdst,rsrc"|"Hyperbolic cosine of GPR"|"Calculate hyperbolic cosine of GPR with cordic coprocessor"|"2"|"A"|"8"|"Cordic"|"1"|"10 0000 r\_src r\_dst uuuuu 00 10001 uuuuu"|"$r_{dst} \longleftarrow_{32} cosh(r_{src}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"cosh.l"|"rdst,rsrc"|"Hyperbolic cosine of long GPR"|"Calculate hyperbolic cosine of long GPR with cordic coprocessor"|"2"|"A"|"8"|"Cordic"|"1"|"10 0000 r\_src r\_dst uuuuu 01 10001 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} cosh(r_{src+1}\#r_{src})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\$\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"cosh.f"|"fdst,fsrc"|"Hyperbolic cosine of FPR"|"Calculate hyperbolic cosine of FPR with cordic coprocessor"|"2"|"A"|"8"|"Cordic"|"1"|"10 0000 r\_src r\_dst uuuuu 10 10001 uuuuu"|"$f_{dst} \longleftarrow_{32} cosh(f_{src}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"cosh.d"|"fdst,fsrc"|"Hyperbolic cosine of double FPR"|"Calculate hyperbolic cosine of double FPR with cordic coprocessor"|"2"|"A"|"8"|"Cordic"|"1"|"10 0000 r\_src r\_dst uuuuu 11 10001 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} cosh(f_{src+1}\#f_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sin.w"|"rdst,rsrc"|"Sine of GPR"|"Calculate sine of GPR with cordic coprocessor"|"2"|"A"|"9"|"Cordic"|"2"|"10 0000 r\_src r\_dst uuuuu 00 10010 uuuuu"|"$r_{dst} \longleftarrow_{32} sin(r_{src}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"sin.l"|"rdst,rsrc"|"Sine of long GPR"|"Calculate sine of long GPR with cordic coprocessor"|"2"|"A"|"9"|"Cordic"|"2"|"10 0000 r\_src r\_dst uuuuu 01 10010 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} sin(r_{src+1}\#r_{src})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\$\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sin.f"|"fdst,fsrc"|"Sine of FPR"|"Calculate sine of FPR with cordic coprocessor"|"2"|"A"|"9"|"Cordic"|"2"|"10 0000 r\_src r\_dst uuuuu 10 10010 uuuuu"|"$f_{dst} \longleftarrow_{32} sin(f_{src}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"sin.d"|"fdst,fsrc"|"Sine of double FPR"|"Calculate sine of double FPR with cordic coprocessor"|"2"|"A"|"9"|"Cordic"|"2"|"10 0000 r\_src r\_dst uuuuu 11 10010 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} sin(f_{src+1}\#f_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sinh.w"|"rdst,rsrc"|"Hyperbolic sine of GPR"|"Calculate hyperbolic sine of GPR with cordic coprocessor"|"2"|"A"|"10"|"Cordic"|"3"|"10 0000 r\_src r\_dst uuuuu 00 10011 uuuuu"|"$r_{dst} \longleftarrow_{32} sinh(r_{src}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"sinh.l"|"rdst,rsrc"|"Hyperbolic sine of long GPR"|"Calculate hyperbolic sine of long GPR with cordic coprocessor"|"2"|"A"|"10"|"Cordic"|"3"|"10 0000 r\_src r\_dst uuuuu 01 10011 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{src+1}\#r_{dst} \longleftarrow_{64} sinh(r_{src+1}\#r_{src})$ \\ $\enspace r_{dst+1}.c \longleftarrow_{1} cordic_{1}.c$ \\ $\enspace r_{dst+1}.v \longleftarrow_{1} cordic_{1}.v$ \\ $\enspace r_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace r_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace r_{dst}.c \longleftarrow_{1} cordic_{0}.c$ \\ $\enspace r_{dst}.v \longleftarrow_{1} cordic_{0}.v$ \\$\enspace r_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace r_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[4] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$, $r_{dst+1}.c$, $r_{dst+1}.v$, $r_{dst+1}.z$, $r_{dst+1}.n$ \\ else \\ $\enspace cr[4]$ \\ endif \\"|"$r_{dst}.n$ and $r_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sinh.f"|"fdst,fsrc"|"Hyperbolic sine of FPR"|"Calculate hyperbolic sine of FPR with cordic coprocessor"|"2"|"A"|"10"|"Cordic"|"3"|"10 0000 r\_src r\_dst uuuuu 10 10011 uuuuu"|"$f_{dst} \longleftarrow_{32} sinh(f_{src}) $ \\ $f_{dst}.a \longleftarrow cordic_{0}.a $ \\ $f_{dst}.i \longleftarrow cordic_{0}.i $ \\ $f_{dst}.z \longleftarrow cordic_{0}.z $ \\ $f_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$ \\"|"$f_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
"sinh.d"|"fdst,fsrc"|"Hyperbolic sine of double FPR"|"Calculate hyperbolic sine of double FPR with cordic coprocessor"|"2"|"A"|"10"|"Cordic"|"3"|"10 0000 r\_src r\_dst uuuuu 11 10011 uuuuu"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{src+1}\#r_{dst} \longleftarrow_{64} sinh(f_{src+1}\#f_{src})$ \\ $\enspace f_{dst+1}.a \longleftarrow_{1} cordic_{1}.a$ \\ $\enspace f_{dst+1}.i \longleftarrow_{1} cordic_{1}.i$ \\ $\enspace f_{dst+1}.z \longleftarrow_{1} cordic_{1}.z$ \\ $\enspace f_{dst+1}.n \longleftarrow_{1} cordic_{1}.n$ \\ $\enspace f_{dst}.a \longleftarrow_{1} cordic_{0}.a$ \\ $\enspace f_{dst}.i \longleftarrow_{1} cordic_{0}.i$ \\ $\enspace f_{dst}.z \longleftarrow_{1} cordic_{0}.z$ \\ $\enspace f_{dst}.n \longleftarrow_{1} cordic_{0}.n$ \\ else \\ $\enspace cr[5] \longleftarrow_{1} 1$ \\ endif \\"|"if $(dst \enspace \% \enspace 2 == 0 \enspace \& \enspace src \enspace \% \enspace 2 == 0)$ then \\ $\enspace f_{dst}.a$, $f_{dst}.i$, $f_{dst}.z$, $f_{dst}.n$, $f_{dst+1}.a$, $f_{dst+1}.i$, $f_{dst+1}.z$, $f_{dst+1}.n$ \\ else \\ $\enspace cr[5]$ \\ endif \\"|"$f_{dst}.n$ and $f_{dst+1}.n$ are implicit."|"None."|"dst range: 0:31 and even; src range: 0:31 and even"
"sqrt1msq.w"|"rdst,rsrc"|"Square root 1 minus square of GPR"|"Calculate square root of 1 minus $GPR^{2}$ with cordic coprocessor"|"2"|"A"|"11"|"Cordic"|"4"|"10 0000 r\_src r\_dst uuuuu 00 10100 uuuuu"|"$r_{dst} \longleftarrow_{32} sqrt(1 - r_{src}^{2}) $ \\ $r_{dst}.c \longleftarrow cordic_{0}.c $ \\ $r_{dst}.v \longleftarrow cordic_{0}.v $ \\ $r_{dst}.z \longleftarrow cordic_{0}.z $ \\ $r_{dst}.n \longleftarrow cordic_{0}.n $ \\"|"$r_{dst}.c$, $r_{dst}.v$, $r_{dst}.z$, $r_{dst}.n$ \\"|"$r_{dst}.n$ is implicit."|"None."|"dst range: 0:31; src range: 0:31"
